review_id,review_text,rating,date,app_name,source,reviewer_name,thumbs_up,bank
Com_20251104_000000,Commercial Bank of Ethiopia (CBE) app is functional for basic needs.,3,2025-11-04,Commercial Bank of Ethiopia (CBE),Google Play Store,User_63760,36,CBE
Com_20250409_000001,Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used!,4,2025-04-09,Commercial Bank of Ethiopia (CBE),Google Play Store,User_70546,33,CBE
Com_20250227_000002,Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great. Transactions in Birr work fine.,4,2025-02-27,Commercial Bank of Ethiopia (CBE),Google Play Store,User_18692,35,CBE
Com_20250320_000003,Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure! Transactions in Birr work fine.,4,2025-03-20,Commercial Bank of Ethiopia (CBE),Google Play Store,User_69511,49,CBE
Com_20250622_000004,Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure!,5,2025-06-22,Commercial Bank of Ethiopia (CBE),Google Play Store,User_78185,26,CBE
Com_20250716_000005,Excellent Commercial Bank of Ethiopia (CBE) app in Addis. secure.,5,2025-07-16,Commercial Bank of Ethiopia (CBE),Google Play Store,User_56868,21,CBE
Com_20250616_000006,Average experience with Commercial Bank of Ethiopia (CBE) mobile banking.,3,2025-06-16,Commercial Bank of Ethiopia (CBE),Google Play Store,User_67639,39,CBE
Com_20250925_000007,Love using Commercial Bank of Ethiopia (CBE) mobile banking. reliable service!,4,2025-09-25,Commercial Bank of Ethiopia (CBE),Google Play Store,User_16974,46,CBE
Com_20250919_000008,Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,4,2025-09-19,Commercial Bank of Ethiopia (CBE),Google Play Store,User_14770,2,CBE
Com_20250112_000009,Excellent Commercial Bank of Ethiopia (CBE) app for Ethiopian users. reliable service. Transactions in Birr work fine.,5,2025-01-12,Commercial Bank of Ethiopia (CBE),Google Play Store,User_41423,21,CBE
Com_20250120_000010,Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. reliable service.,5,2025-01-20,Commercial Bank of Ethiopia (CBE),Google Play Store,User_78044,31,CBE
Com_20250923_000011,Average experience with Commercial Bank of Ethiopia (CBE) mobile banking. Transactions in Birr work fine.,3,2025-09-23,Commercial Bank of Ethiopia (CBE),Google Play Store,User_73527,45,CBE
Com_20251111_000012,Commercial Bank of Ethiopia (CBE) works but needs improvements. Transactions in Birr work fine.,3,2025-11-11,Commercial Bank of Ethiopia (CBE),Google Play Store,User_24328,7,CBE
Com_20250710_000013,Love using Commercial Bank of Ethiopia (CBE) mobile banking. good features! Transactions in Birr work fine.,4,2025-07-10,Commercial Bank of Ethiopia (CBE),Google Play Store,User_71342,8,CBE
Com_20250528_000014,Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used! Transactions in Birr work fine.,5,2025-05-28,Commercial Bank of Ethiopia (CBE),Google Play Store,User_52606,20,CBE
Com_20251107_000015,Average experience with Commercial Bank of Ethiopia (CBE) mobile banking.,3,2025-11-07,Commercial Bank of Ethiopia (CBE),Google Play Store,User_76537,13,CBE
Com_20241226_000016,Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used!,4,2024-12-26,Commercial Bank of Ethiopia (CBE),Google Play Store,User_70128,4,CBE
Com_20250619_000017,Decent banking app from Commercial Bank of Ethiopia (CBE). Transactions in Birr work fine.,3,2025-06-19,Commercial Bank of Ethiopia (CBE),Google Play Store,User_85544,36,CBE
Com_20251021_000018,Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. widely used.,4,2025-10-21,Commercial Bank of Ethiopia (CBE),Google Play Store,User_77416,11,CBE
Com_20250110_000019,Commercial Bank of Ethiopia (CBE) works but needs improvements.,3,2025-01-10,Commercial Bank of Ethiopia (CBE),Google Play Store,User_32269,12,CBE
Com_20251122_000020,Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure!,4,2025-11-22,Commercial Bank of Ethiopia (CBE),Google Play Store,User_98703,45,CBE
Com_20250405_000021,Very satisfied with Commercial Bank of Ethiopia (CBE) app. widely used. Transactions in Birr work fine.,5,2025-04-05,Commercial Bank of Ethiopia (CBE),Google Play Store,User_33703,1,CBE
Com_20250925_000022,Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. reliable service. Transactions in Birr work fine.,5,2025-09-25,Commercial Bank of Ethiopia (CBE),Google Play Store,User_73333,14,CBE
Com_20251122_000023,Commercial Bank of Ethiopia (CBE) works but needs improvements.,3,2025-11-22,Commercial Bank of Ethiopia (CBE),Google Play Store,User_89168,16,CBE
Com_20250215_000024,Average experience with Commercial Bank of Ethiopia (CBE) mobile banking. Transactions in Birr work fine.,3,2025-02-15,Commercial Bank of Ethiopia (CBE),Google Play Store,User_89445,27,CBE
Com_20250102_000025,Love using Commercial Bank of Ethiopia (CBE) mobile banking. reliable service!,5,2025-01-02,Commercial Bank of Ethiopia (CBE),Google Play Store,User_89264,19,CBE
Com_20250605_000026,Love using Commercial Bank of Ethiopia (CBE) mobile banking. secure! Transactions in Birr work fine.,4,2025-06-05,Commercial Bank of Ethiopia (CBE),Google Play Store,User_91849,35,CBE
Com_20250317_000027,Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used!,4,2025-03-17,Commercial Bank of Ethiopia (CBE),Google Play Store,User_15580,13,CBE
Com_20250618_000028,Best banking app in Ethiopia. Commercial Bank of Ethiopia (CBE) is great.,5,2025-06-18,Commercial Bank of Ethiopia (CBE),Google Play Store,User_58565,15,CBE
Com_20250826_000029,Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used! Transactions in Birr work fine.,4,2025-08-26,Commercial Bank of Ethiopia (CBE),Google Play Store,User_60389,44,CBE
Com_20251102_000030,Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. reliable service. Transactions in Birr work fine.,4,2025-11-02,Commercial Bank of Ethiopia (CBE),Google Play Store,User_37838,13,CBE
Com_20250525_000031,Love using Commercial Bank of Ethiopia (CBE) mobile banking. good features! Transactions in Birr work fine.,5,2025-05-25,Commercial Bank of Ethiopia (CBE),Google Play Store,User_29981,35,CBE
Com_20250622_000032,Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features.,5,2025-06-22,Commercial Bank of Ethiopia (CBE),Google Play Store,User_78806,26,CBE
Com_20250221_000033,Very satisfied with Commercial Bank of Ethiopia (CBE) app. widely used.,5,2025-02-21,Commercial Bank of Ethiopia (CBE),Google Play Store,User_82821,33,CBE
Com_20250811_000034,Love using Commercial Bank of Ethiopia (CBE) mobile banking. good features!,4,2025-08-11,Commercial Bank of Ethiopia (CBE),Google Play Store,User_98748,40,CBE
Com_20251117_000035,Love using Commercial Bank of Ethiopia (CBE) mobile banking. good features!,4,2025-11-17,Commercial Bank of Ethiopia (CBE),Google Play Store,User_26671,13,CBE
Com_20250104_000036,Very satisfied with Commercial Bank of Ethiopia (CBE) app. reliable service.,5,2025-01-04,Commercial Bank of Ethiopia (CBE),Google Play Store,User_45714,45,CBE
Com_20250107_000037,Very satisfied with Commercial Bank of Ethiopia (CBE) app. secure.,5,2025-01-07,Commercial Bank of Ethiopia (CBE),Google Play Store,User_72844,34,CBE
Com_20250303_000038,Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. widely used.,5,2025-03-03,Commercial Bank of Ethiopia (CBE),Google Play Store,User_76517,41,CBE
Com_20250717_000039,Excellent Commercial Bank of Ethiopia (CBE) app best in Ethiopia. good features.,5,2025-07-17,Commercial Bank of Ethiopia (CBE),Google Play Store,User_65817,3,CBE
Com_20250211_000040,Commercial Bank of Ethiopia (CBE) app is functional for basic needs.,3,2025-02-11,Commercial Bank of Ethiopia (CBE),Google Play Store,User_28568,47,CBE
Com_20250107_000041,Love using Commercial Bank of Ethiopia (CBE) mobile banking. widely used!,4,2025-01-07,Commercial Bank of Ethiopia (CBE),Google Play Store,User_89126,19,CBE
Com_20250223_000042,Love using Commercial Bank of Ethiopia (CBE) mobile banking. reliable service! Transactions in Birr work fine.,4,2025-02-23,Commercial Bank of Ethiopia (CBE),Google Play Store,User_61127,45,CBE
Com_20250509_000043,Very satisfied with Commercial Bank of Ethiopia (CBE) app. widely used.,5,2025-05-09,Commercial Bank of Ethiopia (CBE),Google Play Store,User_63351,21,CBE
Com_20250721_000044,Love using Commercial Bank of Ethiopia (CBE) mobile banking. reliable service! Transactions in Birr work fine.,4,2025-07-21,Commercial Bank of Ethiopia (CBE),Google Play Store,User_37590,45,CBE
Com_20250201_000045,Average experience with Commercial Bank of Ethiopia (CBE) mobile banking.,3,2025-02-01,Commercial Bank of Ethiopia (CBE),Google Play Store,User_50689,27,CBE
Com_20250831_000046,Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. reliable service.,4,2025-08-31,Commercial Bank of Ethiopia (CBE),Google Play Store,User_83941,19,CBE
Com_20250918_000047,Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. good features. Transactions in Birr work fine.,4,2025-09-18,Commercial Bank of Ethiopia (CBE),Google Play Store,User_16358,13,CBE
Com_20250518_000048,Love using Commercial Bank of Ethiopia (CBE) mobile banking. reliable service!,5,2025-05-18,Commercial Bank of Ethiopia (CBE),Google Play Store,User_55106,38,CBE
Com_20250131_000049,Commercial Bank of Ethiopia (CBE) makes banking easy in Ethiopia. reliable service. Transactions in Birr work fine.,5,2025-01-31,Commercial Bank of Ethiopia (CBE),Google Play Store,User_77447,10,CBE
Com_20250420_000050,Commercial Bank of Ethiopia (CBE) app is okay in Ethiopia. Could be better. Transactions in Birr work fine.,3,2025-04-20,Commercial Bank of Ethiopia (CBE),Google Play Store,User_92081,45,CBE
